1822.442,0.625,850,28.09,0.06,-0.042,1.027,0,0,0
1822.502,0.669,850,28.09,0.062,-0.04,1.022,-0.001,-0.001,0
1822.592,0.707,850,28.09,0.045,-0.042,1.023,0,0,0
1822.652,0.707,850,28.040001,0.06,-0.039,1.015,-0.001,0,0
1822.742,0.735,850,28.08,0.06,-0.046,1.02,-0.001,0,-0.002
1822.802,0.708,850,28.08,0.062,-0.048,1.021,-0.001,0,0
1822.862,0.708,850,28.08,0.06,-0.037,1.022,-0.001,0,0
1822.892,0.679,850,28.08,0.06,-0.037,1.022,-0.001,0,0
1822.922,0.679,850,28.08,0.029,-0.05,1.027,0,0,0
1822.982,0.651,850,28.08,0.06,-0.037,1.021,0,-0.001,-0.001
1823.072,0.633,850,28.09,0.029,-0.037,1.029,0,0,0
1823.132,0.633,850,28.040001,0.044,-0.046,1.013,0,0,0
1823.192,0.679,850,28.040001,0.031,-0.043,1.029,0,-0.001,0
1823.252,0.679,850,28.08,0.031,-0.041,1.015,0,0,0
1823.312,0.71,850,28.08,0.029,-0.048,1.031,-0.001,0,0
1823.402,0.737,850,28.08,0.06,-0.041,1.031,-0.001,0,-0.001
1823.462,0.737,850,28.040001,0.046,-0.048,1.029,0,0,0
1823.552,0.715,850,28.08,0.062,-0.048,1.023,-0.001,0,0
1823.612,0.696,850,28.08,0.06,-0.037,1.023,0,-0.002,-0.001
1823.672,0.696,850,28.08,0.062,-0.048,1.022,0,0,0
1823.732,0.67,850,28.08,0.058,-0.048,1.029,-0.001,0,0
1823.792,0.645,850,28.08,0.06,-0.037,1.022,0,0,0
1823.822,0.645,850,28.08,0.045,-0.042,1.02,0,-0.001,0
1823.852,0.645,850,28.08,0.044,-0.042,1.029,0,-0.001,0
1823.912,0.691,850,28.09,0.06,-0.037,1.027,0,0,0
1823.972,0.691,850,28.040001,0.06,-0.046,1.029,-0.001,-0.002,0
1824.002,0.735,850,28.049999,0.045,-0.042,1.029,0,0,0
1824.032,0.735,850,28.049999,0.045,-0.042,1.029,0,0,0
1824.092,0.769,850,28.040001,0.062,-0.037,1.021,-0.001,0,0
1824.182,0.808,850,28.040001,0.031,-0.041,1.029,-0.001,0,0
1824.242,0.808,850,28.08,0.031,-0.037,1.017,0,-0.002,-0.001
1824.302,0.771,850,28.049999,0.045,-0.048,1.021,0,0,0
1824.362,0.771,850,28.08,0.045,-0.042,1.021,0,0,-0.001
1824.422,0.741,850,28.08,0.046,-0.048,1.029,0,-0.001,0
